placeOfBirth,Rename
Al-Jaza'ir,Algeria
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Auteuil,France
Bahamas,Bahamas
Bangladesh,Bangladesh
Beckington,England
Belarus,Belarus
Belgie,Belgium
Bermondsey,U.K.
Bharat,India
Blackheath,U.K.
Braintree,England
Brasil,Brazil
Bristol,U.K.
Canada,Canada
Canterbury,U.K.
Ceska Republika,Chezch Republic
Charlieu,France
Charlotte Amalie,Virgin Islands
Chile,Chile
Colombia,Colombia
Cuba,Cuba
Danmark,Denmark
Deutschland,Germany
Edinburgh,Scotland
Eesti,Estonia
Egremont,U.K.
Eire,Ireland
Ellas,Greece
Epsom,U.K.
Espana,Spain
France,France
Guyana,Guyana
Hrvatska,Croatia
Indonesia,Indonesia
Island,Iceland
Isle of Man,British Isles
Italia,Italy
Jamaica,Jamaica
Jugoslavija,Yugoslavia
Kensington,UK
Latvija,Latvia
Lietuva,Lithuania
Liverpool,England
London,England
Luxembourg,Luxembourg
Magyarorszag,Hungary
Makedonija,Macedonia
Malaysia,Malaysia
Mauritius,Mauritius
Melmerby,U.K.
Mexico,Mexico
Misr,Egypt
Moldova,Moldova
Myanmar,Myanmar
Nederland,Netherlands
New Zealand,New Zealand
Niederschlesien,Silesia
Nigeria,Nigeria
Nihon,Japan
Norge,Norway
Osterreich,Austria
Pakistan,Pakistan
Perth,Australia
Plymouth,U.K.
Polska,Poland
Portugal,Portugal
Rochdale,U.K.
Romania,Romania
Rossiya,Russia
Saint Helier,Channel Islands
Schlesien,Silesia
Schweiz,Switzerland
Singapore,Singapore
Slovenska Republika,Slovenia
Solothurn,Switzerland
South Africa,South Africa
Sri Lanka,Sri Lanka
Staten Island,USA
Stoke on Trent,U.K.
Sverige,Sweden
Turkiye,Turkey
Ukrayina,Ukraine
United Kingdom,U.K.
United States,USA
Venezuela,Venezuela
Viet Nam,Vietnam
Wimbledon,U.K.
Yisra'el,Israel
Zhonghua,China
Zimbabwe,Zimbabwe
