country_code,map_col,map_row
,1,25
,2,25
ISL,7,25
NOR,11,25
SWE,12,25
FIN,13,25
,14,25
,15,25
,16,25
,17,25
,18,25
,19,25
,20,25
,21,25
,22,25
,23,25
,1,24
,2,24
,3,24
,4,24
EST,13,24
,14,24
,15,24
,16,24
,17,24
,18,24
,19,24
,20,24
,21,24
,22,24
,23,24
,1,23
,2,23
,3,23
,4,23
LVA,13,23
,14,23
,15,23
,16,23
,17,23
,18,23
,19,23
,20,23
,21,23
,22,23
,23,23
,1,22
CAN,2,22
,3,22
,4,22
IRL,7,22
GBR,8,22
NLD,10,22
DNK,11,22
POL,12,22
LTU,13,22
BLR,14,22
,15,22
,16,22
RUS,17,22
,18,22
,19,22
,20,22
,21,22
,22,22
,23,22
,1,21
,2,21
,3,21
,4,21
BEL,9,21
LUX,10,21
DEU,11,21
CZE,12,21
SVK,13,21
UKR,14,21
,15,21
,16,21
,17,21
,18,21
,19,21
,20,21
,21,21
,22,21
,1,20
,2,20
,3,20
FRA,8,20
CHE,9,20
,10,20
AUT,11,20
,12,20
HUN,13,20
,14,20
MDA,15,20
,16,20
,17,20
,18,20
,19,20
MNG,20,20
,21,20
PRK,22,20
,1,19
USA,2,19
,3,19
,8,19
,9,19
,10,19
SVN,11,19
HRV,12,19
SRB,13,19
BGR,14,19
,16,19
KAZ,17,19
,18,19
,19,19
,20,19
,21,19
KOR,22,19
JPN,23,19
,1,18
,2,18
,3,18
PRT,7,18
ESP,8,18
ITA,10,18
BIH,12,18
,13,18
,16,18
,17,18
,18,18
,19,18
CHN,20,18
,21,18
,1,17
,3,17
MLT,10,17
MNE,12,17
MKD,13,17
GEO,15,17
,16,17
UZB,17,17
KGZ,18,17
,19,17
,20,17
HKG,21,17
MEX,1,16
BHS,3,16
ALB,12,16
GRC,13,16
TUR,14,16
ARM,15,16
AZE,16,16
TKM,17,16
TJK,18,16
,19,16
,20,16
MAC,21,16
,1,15
CUB,2,15
CYP,13,15
LBN,14,15
SYR,15,15
IRN,16,15
AFG,17,15
,18,15
,19,15
,20,15
,21,15
,1,14
HTI,3,14
DOM,4,14
PRI,5,14
CPV,7,14
MRT,8,14
MAR,9,14
DZA,10,14
TUN,11,14
ISR,14,14
JOR,15,14
IRQ,16,14
PAK,17,14
NPL,18,14
BTN,19,14
VNM,20,14
PHL,21,14
GUM,23,14
,1,13
JAM,2,13
VIR,5,13
SEN,8,13
,9,13
,10,13
,11,13
LBY,12,13
EGY,13,13
,14,13
,15,13
KWT,16,13
IND,18,13
BGD,19,13
LAO,20,13
,1,12
GMB,8,12
,9,12
MLI,10,12
NER,11,12
TCD,12,12
SDN,13,12
SAU,15,12
BHR,16,12
LKA,18,12
MMR,19,12
THA,20,12
FSM,23,12
,1,11
BLZ,2,11
GNB,8,11
,9,11
,10,11
,11,11
,12,11
,13,11
ERI,14,11
QAT,16,11
ARE,17,11
MDV,18,11
KHM,20,11
GTM,1,10
HND,2,10
GIN,8,10
,9,10
BFA,10,10
,11,10
,12,10
,13,10
,14,10
YEM,16,10
OMN,17,10
MYS,20,10
SLV,1,9
NIC,2,9
LCA,4,9
BRB,5,9
SLE,8,9
,9,9
,10,9
BEN,11,9
,12,9
,13,9
,14,9
DJI,15,9
SGP,20,9
BRN,21,9
SLB,22,9
CRI,2,8
ABW,3,8
GRD,4,8
VCT,5,8
LBR,8,8
CIV,9,8
GHA,10,8
TGO,11,8
NGA,12,8
,13,8
,14,8
ETH,15,8
SOM,16,8
IDN,20,8
PNG,21,8
PAN,2,7
TTO,4,7
CMR,12,7
CAF,13,7
UGA,14,7
KEN,15,7
VUT,22,7
COL,2,6
VEN,3,6
GUY,4,6
SUR,5,6
STP,11,6
GNQ,12,6
,13,6
RWA,14,6
,15,6
FJI,22,6
WSM,23,6
ECU,2,5
,3,5
,4,5
,5,5
GAB,12,5
COG,13,5
BDI,14,5
TZA,15,5
NCL,22,5
TON,23,5
PER,2,4
BOL,3,4
,4,4
BRA,5,4
,12,4
ZMB,13,4
MWI,14,4
,19,4
,20,4
,21,4
PYF,23,4
,2,3
,3,3
PRY,4,3
AGO,12,3
ZWE,13,3
MOZ,14,3
COM,15,3
,19,3
AUS,20,3
,21,3
,2,2
,3,2
URY,4,2
NAM,12,2
BWA,13,2
SWZ,14,2
MDG,15,2
CHL,2,1
ARG,3,1
ZAF,12,1
LSO,13,1
MUS,16,1
NZL,22,1
